username,date,review_content,purchase_point,recommend,rating,jenis_produk,trend,age_category,periode_penggunaan,skintype,skintone,undertone
dirkonjin,2024-09-08,"Sumpah bagus banget sunscreen azarine ini, sampe sekarang belum nemu sunscreen yang kaya gini, di aku yang kulitnya kering dia masih aman aja dan enaknya dia gampang meresap gak lengket terus juga dia gak perih di mata worth it harga segini sih",Shopee,dirkonjin recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,62,dewasa muda,Jangka Panjang,Dry,Medium,Neutral
dianpramesti30,2024-09-05,"Bagus, mudah diaplikasikan, gak whitecast juga, mudah meresap, gak pedih dimata tapi sayang aku gak cocok, bikin mukaku bruntusan setelah beberapa hari pake. Tapi pas dipake suamiku malah cocok. Yaa emang cocok-cocokan aja sih.",Shopee,dianpramesti30 recommends this product!,4,Azarine Hydrashoote Sunscreen Gel,54,dewasa muda,Jangka Pendek,Dry,Medium Light,Warm
kireyjung,2024-09-05,"Penasaran sama SS dari Azarine ini, sampe akhirnya checkout. Tapi pas apply di wajaku. Dia cepet banget menyerap, ada sedikit tone up tapi bikin crack gtu, kayak wajahku jadi kaku. Sempet was was apa kulitku lagi beradaptasi sampe akhirnya aku pake 1bulanan lebih. Tapi ternyata rasanya ttep sama kayak gitu dan bikin ngga nyaman. Mungkin, ngga cocok di kulitku yg combi to dry, akhirnya aku kasih ke temenku deh.",Shopee,kireyjung doesn't recommend this product!,3,Azarine Hydrashoote Sunscreen Gel,54,dewasa muda,Jangka Menengah,Combination,Light,Cool
adilla04,2024-08-31,"ini udah botol ke 4 aku pake sunscreen ini. teksturnya gel jd cocok bgt sama kulit aku. sesuai namanya hydrasooth memang sangat melembabkan. sampe2 tiap pagi skincare routine ku akhirnya berkurang. jadi cuman pake toner sama sunscreen doang. bakal repurchase lagi sih, tp skrg lagi coba yg warna biru krn spf nya lebih tinggi dan ada kandungan ceramide nya juga. recommended!",Matahari,adilla04 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,71,dewasa muda,Jangka Panjang,Oily,Medium,Neutral
Chickennugget_111,2024-08-26,"sunscreen gel yang gabikin gerah dikulit akuuuu gaada wanginya, ringan dan nahan minyak dikulit aku,harganya juga ramah untuk kantong pelajar gabikin boncos jugaaa,oiya kalau mau lebih nampol cegah sinar matahari sering"" reaplly yaaaluv deehhhhhhhhh",Shopee,Chickennugget_111 recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,64,remaja,Jangka Pendek,Combination,Medium,Neutral
jjkeukeu,2024-08-26,"Dari teksturnya aku suka, pas di apply ada sensasi coolingnya gitu dan cukup nahan minyak diwajah. Tapi entah kenapa, baru-baru ini pas aku repurchase yang ke sekian kalinya kalo telat reapply tuh jadi perih dimata dan bikin kusam juga. Mungkin reformulasi kali ya, entahlah, tapi yang jelas buat wajah yg jerawatan dan tipkul kombi bagus kok",Shopee,jjkeukeu recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,64,dewasa muda,Jangka Menengah,Combination,Medium Light,Neutral
teetanium,2024-08-25,"Untuk aku yang oily skin, pake sunscreen azarine hydrasoothe tuh paling cocok! Gak bikin makin berminyak dan cepet banget menyerap ke kulitku. Secinta itu aku sama sunscreen ini, entah udah berapa botol yang aku pake.",Shopee,teetanium recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,61,dewasa muda,Jangka Panjang,Oily,Medium,Neutral
devinadkh,2024-08-24,"Dia teksturnya heavy gitu ya dan no whitecast jadi gada efek tone up nya samsek, ini tipe yang bikin gerah klo buat touch up siang siang kalo pagi mah aman saja, ini sunscreen kecintaanku sejak SMA emang dia sebagus itu sih bisa membantu mudarin bekas jerawat juga top bgt dah",Indomaret,devinadkh recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,76,dewasa muda,Jangka Menengah,Oily,Medium Light,Cool
Shafanaila17_,2024-08-21,"Worth it banget, tekstur gel, ringan dan mudah sekali menyerap. Tidak whitecast, harga kantong pelajar, packaging bagus dan simpel. Cocok untuk kulit normal, berminyak, kombinasi, dan acne prone skin / kulit berjerawat. Melembabkan serta menenangkan kulit dan melindungi kulit dari pengaruh buruk sinar matahari.",Shopee,Shafanaila17_ recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,80,dewasa muda,Jangka Pendek,Combination,Light,Neutral
Bilapr,2024-08-21,"Beberapa kali repurchase. Cukup untuk menahan panas Surabaya, tetapi tidak cukup menahan panasnya Taiwan hehe. Masih bikin gosong meskipun sudah reapply. Untuk kulit kering ini sangat cocok, tidak bikin greasy karena tekstur gel",Shopee,Bilapr recommends this product!,5,Azarine Hydrashoote Sunscreen Gel,80,dewasa muda,Jangka Panjang,Dry,Light,Neutral
